text,label
"In a naive state, blocking Wingless-Int-1 secretion from mouse embryonic stem cells inhibits self-renewal of the mouse embryonic stem cells.",0
"In breast cancer, the loss of myoepithelial cells promotes the transition of ductal carcinoma in situ to invasive carcinoma.",0
"In breast cancer, the loss of myoepithelial cells slows the transition of ductal carcinoma in situ to invasive carcinoma.",1
"In melanoma, anti-CTLA-4 treatment reinvigorates exhausted PD-1+Eomes+CD8 T cells.",0
"In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.",1
"In pediatric tissue, most T cells are naive T cell emigrants from the thymus.",0
"In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.",0
"In young and middle-aged adults, current or remote uses of ADHD medications increase the risk of serious cardiovascular events.",1
Incidence of 10/66 dementia is higher than the incidence of DSM-IV dementia.,0
Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.,1
Incidence of heart failure increased by 10% in women since 1979.,1
Incidence of sepsis has fallen substantially from 2009 to 2014.,1
Including pharmacists in rounding teams does not alter the incidence of adverse drug events (ADEs).,1
Including pharmacists in rounding teams reduces the incidence of adverse drug events (ADEs).,0
Increased LDL receptors plays a role in the reduction of plasma Lp(a).,0
Increased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,0
Increased microtubule acetylation exacerbates LRRK2 Roc-COR domain mutation induced locomotor deficits.,1
Increased microtubule acetylation repairs interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,0
Increased microtubule acetylation worsens interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,1
Individuals with Alzheimers who participate in six months of physical activity improve cognitive function for up to 18 months.,0
Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,0
Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,0
Induction of urokinase receptor signaling in podocytes causes foot process effacement and proteinuria.,0
Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.,0
Inhibiting focal adhesion formation enables cells to convert mechanical strain into eventual scarring.,1
Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,1
Inhibiting glucose-6-phospate dehydrogenase improves lipogenesis by deactivating LKB1-AMPK signaling.,1
"Inside the body, falciparum parasites reproduce asexually.",0
Insulin effects appetite via ventral tegmental neurons.,0
Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.,1
Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.,0
Integrated care is ineffective at tackling multiple comorbidities.,1
Integrated care is successful at tackling multiple comorbidities.,0
Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.,0
Intramembrane cleavage by signal peptide peptidase aids in the degradation of proteins with a complex membrane orientation.,0
JMJD6 catalyzes the hydroxylation of C-terminal lysine and supresses transcriptional activity.,0
JMJD6 slows the hydroxylation of C-terminal lysine,1
KLF4 is necessary for VSMCs to gain genetic characteristics of other cell types within atherosclerotic lesions.,0
KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.,0
Kir7.1 modulates channel activity by the G protein-coupled melanocortin-4 receptor (MC4R) in the paraventricular nucleus of the hypothalamus.,0
Klf2 is important for proper myeloid cell function.,0
Klf4 is important for proper myeloid cell differentiation.,0
Klf4 is not required for proper myeloid cell differentiation.,1
Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes epithelial damage.,0
Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes fibrosis.,0
LDL cholesterol has a causal role in the development of cardiovascular disease.,0
Lack of FGF21 in mice increases life expectancy.,1
Lack of FGF21 in mice leads to atherosclerotic plaque formation.,0
Lack of FGF21 in mice leads to reduced lifespan.,0
Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.,1
Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,0
Long chain polyunsaturated fatty acids supplementation is associated with lower rates of atopic eczema at 1 year.,0
Low nucleosome occupancy correlates with high methylation levels across species.,0
Ly49Q directs the organization of neutrophil polarization by regulating membrane raft functions.,0
Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.,0
MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,0
MFGE8 regulates fat absorption by binding to av-Beta3 and av-Beta5 integrins.,0
MICAL redox enzymes regulate actin dynamics in many cell types.,0
MICAL redox enzymes regulate actin dynamics.,0
MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.,0
MafA phosphorylation decreases its ubiquitination.,1
MafA phosphorylation enhances its ubiquitination.,0
MafA ubiquitination decreases the recruitment of coavtivator P/CAF by MafA.,1
MafA ubiquitination increases the recruitment of coavtivator P/CAF by MafA.,0
Major antigen-induced signals from the T cell receptor and secondary signals from costimulatory receptors are required for T cell activation.,0
Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,0
Major vault protein regulates sorting of tumor suppressive miR-193a into EVs.,0
Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have only a modest impact in reducing malaria transmission.,0
Medications to treat obesity are highly effective.,1
Medications to treat obesity do not have side effects.,1
Medications to treat obesity have unwanted side effects.,0
Men are more susceptible to death due to pneumonia when compared to women.,1
Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,1
Mice are incapable of producing neutralizing antibodies in reponse to the Chikungunya virus (CHIKV) produced in mosquitos.,1
Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,1
Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,0
Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,0
Mice without IFN-γ or its receptor are highly susceptible to EAM induced with α-MyHC/CFA.,0
Microcin J25 encourages nucleoside triphosphate (NTP) binding.,1
Microcin J25 inhibits nucleoside triphosphate (NTP) binding.,0
Microglia are an innate immune cell type of the central nervous system.,0
Microglia are an innate immune cell type of the peripheral nervous system.,1
Migraine with aura is associated with ischemic stroke.,0
Misunderstandings between doctors and patients can lead to non-adherence.,0
Mitochondria play a major role in apoptosis.,0
Mitochondria play a major role in energy production.,0
Mitochondria play a trivial role in calcium homeostasis.,1
Monoclonal antibody targeting of N-cadherin encourages castration resistance.,1
Monoclonal antibody targeting of N-cadherin encourages metastasis.,1
Monoclonal antibody targeting of N-cadherin inhibits castration resistance.,0
Monoclonal antibody targeting of N-cadherin inhibits growth.,0
Most termination events in Okazaki fragments are dictated by initiation patterns.,0
"Mouse models can be generated using ""artificial spermatids.""",0
Mutant mice lacking SVCT2 have severely reduced ascorbic acid levels in both brain and adrenals.,0
Mutations in RIM1 decrease levels of IME1 RNA.,0
Mutations in RIM1 raise levels of IME1 RNA.,1
Myelin sheaths play a role in action potential propagation.,0
N348I mutations cause resistance to nevirapine.,0
N348I mutations reduce resistance to nevirapine.,1
NR5A2 does not play a role in development of endometrial tissues.,1
Natriuretic peptides increase susceptibility to diabetes.,1
Natriuretic peptides protect against diabetes.,0
Neutrophil extracellular trap (NET) antigens may contain the targeted autoantigens PR3 and MPO.,0
Neutrophils produce IL-1β in response to large particles.,0
Nonhuman primates are incapable of producing neutralizing antibodies in reponse to the Eilat virus (EILV) produced in mosquitos.,1
Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,0
Noninvasive positive pressure ventilation is not predictive of acute respiratory failure after solid organ transplantation.,1
Nonsteroidal antinflammatory drugs are ineffective as cancer treatments.,1
Nonsteroidal antinflammatory drugs show potential anticancer indications.,0
Normal expression of RUNX1 causes tumorsupressing effects.,0
Normal granulomas form in the absence of TNF in Zebrafish.,0
Normal granulomas form in the presence of TNF in Zebrafish.,1
Notch signaling occurs between tumor cells and stromal cells.,0
Oat tolerant coeliac patients may have oat specific inflammatory cells in their small bowel mucosa.,0
Omnivores produce less trimethylamine N-oxide from dietary I-carnitine than vegans.,1
Omnivores produce more trimethylamine N-oxide from dietary I-carnitine than vegans.,0
Omnivores produce more trimethylamine N-oxide from dietary I-carnitine than vegetarians.,0
One in five surgical randomized controlled trials are discontinued early.,0
One in two surgical randomized controlled trials are discontinued early.,1
Osteocytes have an essential role in G-CSF induced HSPC mobilization.,0
PCSK9 inhibitors decrease plasma Lp(a) levels.,0
PD-1 triggering on monocytes enhances IL-10 production by monocytes.,0
PKG-la does not have a large impact on expression of pain hypersensitivity in PGK-la knockout mice.,1
PKG-la does not have a large impact on expression of spinal long term potentiation in PGK-la knockout mice.,1
PKG-la plays an essential role in expression of spinal long term potentiation in PGK-la knockout mice.,0
PTEN is a regulator for the transcriptional activity of SRF,0
Participants who quit smoking reduce lung cancer risk by approximately 50%.,0
Patients in stable partnerships have a slower progression from HIV to AIDS.,0
Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.,1
Patients with common epithelial cancers  are more likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,0
Patients with common epithelial cancers are less likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,1
Patients with microcytosis and higher erythrocyte count are more vulnerable to severe malarial anaemia when infected with Plasmodium falciparum.,1
Patients with microcytosis and higher erythrocyte count were more resistant to severe malarial anaemia when infected with Plasmodium falciparum.,0
Patients with panic anxiety show decreased CSF levels of hypocretin.,1
Pediatric SCD patients with vaso-occlusive crisis show increased morphine use after breathing 80 ppm iNO for 4 hours.,0
Peroxynitrite is required for induction of T cell tolerance.,0
Pharmacist attendance at ward rounds increases adverse events in wards.,1
Pharmacist attendance at ward rounds reduces adverse events in wards.,0
Phase information is useful for predicting donor-recipient matches in organ transplantation.,0
Physical activity does not improve cognitive function in individuals with Alzheimers.,1
Piezo1 channels are sensors for cell migration in epithelial cells.,0
Pioglitazone use is not associated with an increased risk of prostate cancer.,1
Pioglitazone use is significantly associated with an increased risk of pancreatic cancer.,0
Pioglitazone use is significantly associated with an increased risk of prostate cancer.,0
Pioneer factor OCT3/4 interacts with major chromatin remodeling factors.,0
Polymeal nutrition increases cardiovascular mortality.,1
Post-transcriptional handling of mitochondrial transcripts occurs in mitochondrial RNA granules.,0
Pre-mRNAs associated with spliceosomal components are less stable than unassociated splicing substrates.,1
Pre-mRNAs associated with spliceosomal components are more stable than unassociated splicing substrates.,0
Prescribed exercise training improves quality of life.,0
Primary cervical cancer screening with HPV detection has lower longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,1
Primary cervical cytology screening with HPV detection has higher longitudinal sensitivity to detect severe cervical intraepithelial neoplasia than conventional cytology.,0
Pro-inflammatory cytokines are up regulated during tumor development.,0
Progerin induces premature aging in stem cells.,0
Propriospinal interneurons that play a role in the plastic reorganization of spinal circuits are integral for recovery from spinal cord injury.,0
Pseudogene PTENP1 encodes a transcript that regulates PTEN expression.,0
Pyridostatin decreases telomere fragility in BRCA2-deficient cells.,1
Pyridostatin deregulates G2/M progression.,0
Pyridostatin encourages proliferation of homologous recombination - defective cells.,1
Pyridostatin induces checkpoint activation.,0
Pyridostatin induces double-strand breaks accumulation.,0
Pyridostatin prevents double-strand breaks accumulation.,1
Pyridostatin reduces proliferation of homologous recombination - defective cells.,0
Pyridostatin stabilizes the G - quadruplex in the telomeric region.,0
RAD52 is involved in break-induced DNA replication (BIR).,0
RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,1
RANK-RANKL pathway signalling is linked to development of Aire-expressing medullary thymic epithelial cells.,0
RTEL1 interacts with TRF2 through a C4C4 motif,0
RUNX1 is downregulated or mutated in TLX1 T-ALL.,0
Radioiodine treatment of non-toxic multinodular goitre increases thyroid volume.,1
Rapamycin delays aging in fruit flies.,0
Rapid phosphotransfer rates are correlated with histidine kinase regulator specificity.,0
Recognition of start codons depends on the translation initiation factor IF3.,0
Reduced responsiveness to interleukin-2 in regulatory T cells is associated with autoimmune diseases such as Type 1 Diabetes.,0
Reducing H3k4me3 methylation induces mouse epiblast stem cells to naive pluripotency efficiently.,0
Reduction of Rpl38 alters the composition of the Hox gene mRNAs translation in mice without lowering overall protein synthesis.,0
Removal of H3K9me3 by ectopic expression of other H3K9 demethylases decreases reprogramming efficiency in SCNT experiments.,1
Removal of H3K9me3 by ectopic expression of other H3K9 demethylases improves reprogramming efficiency in SCNT experiments.,0
Removal of H3K9me3 improves reprogramming efficiency in human somatic cell nuclear transfer experiments.,0
Replacement of histone H2A with H2A.Z accelerates gene activation in yeasts by destabilizing +1 nucleosomes.,0
Repressing IL-18 has negative effects on atherosclerotic lesion composition and progression.,1
Retinoic acid receptor-related orphan receptor gamma (RORγ) is a therapeutic target for castration-resistant prostate cancer (CRPC),0
Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in gluconeogenesis.,0
Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in hepatic glucose metabolism.,0
Ribosomopathies have a high degree of cell and tissue specific pathology.,0
Risedronate increases risk of vertebral and non-vertebral fractures.,1
Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.,0
Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.,0
Rotator cuff exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.,0
Satellite cell dysfunction is a key factor in sarcopenia development.,1
Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.,0
Sepsis related mortality has remained stable between 2009-2014.,0
Sepsis related mortality has risen from 2009 to 2014.,1
Side effects associated with antidepressants do not represent a mortality risk to postmenopausal women.,1
Side effects associated with antidepressants increases risk of stroke.,0
Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,1
Smc5/6 engagment halts the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,1
Splenomegaly is observed in knockin mouse lacking the SHP-2 MAPK pathway.,0
Stiff substrates encourage mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.,1
Stiff substrates inhibit mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.,0
